Latitude,Longitude,Name,predicted_cluster
0.17983354484035985,0.5018782346224668,BasiGo Charging Station,4
0.16124669030671157,0.15051983425291837,BasiGo Charging Station,4
0.10455723658671179,0.3057503647002733,Electric Vehicle Charging Station,4
0.0,0.10411155201440181,Electric Vehicle Charging Station,4
0.41451373403034886,0.30486209351624893,EVChaja Charging Station,3
0.09926729788023003,0.4008668543689282,Roam Hub - Lusaka,4
0.2475972627683225,0.27149900903343394,Roam Hub - Wayaki Way,4
0.14152170166542266,0.30147703297362227,Ecotrify,4
0.49814448280003987,0.8132441183381758,SupaChaja Charging Station,1
0.3990735469989506,0.5484334753346758,Roam Hub - Quickmart Roysambu,1
0.0443917562742735,0.11340504539036544,Electric Vehicle Charging Station,4
0.0017432356919409031,0.5518185358773025,BasiGo Depot - Embakasi,4
0.18204435902926175,0.41143983943909745,Ampersand Starehe - Swap Station,4
0.3991484013376301,0.5487283954115867,Electric Vehicle Charging Station,1
0.1671285005283325,0.5744752190646807,Electric Vehicle Charging Station,4
0.16747666024312036,0.5821599434836884,Roam Hub - Kayole,4
0.28078941733731,0.0,BasiGo Charging Station - Kikuyu,3
0.22551906261478472,0.16426245780273518,Ampersand Mountain View - Swap Station,4
0.3795797364082798,0.0999994733570162,Ampersand Wangige Swap Station,3
1.0000000000000004,1.0,BasiGo Charging Station,1
